registration_id,registration_date,dealer_id,dealer_name,sku_id,tyre_serial_no,vehicle_type,customer_mobile,km_at_registration,extra_warranty_flag,source
CEAWAR00002613,2025-09-18,CEADLR000611,Vijaya Rafiq Paints,CEA0004,C3032540,LCV,8660845411,67416,Y,dealer app
CEAWAR00002614,2025-11-30,CEASUB003126,Mahalakshmi Jagan Associates,CEA0035,C9277617,Truck,9893586824,0,N,manual
CEAWAR00002615,2024-04-30,CEASUB002525,Kaveri Hari Tyres,CEA0013,D4039913,Truck,9828982396,NA,pending,dealer app
CEAWAR00002616,15-Jan-25,CEADLR000594,Sri Sowmya Tyres,CEA0020,C2498884,Car,9478176505,NA,N,call center
CEAWAR00002617,2024-09-12,CEASUB004177,City Sanjay Stores,CEA0026,D3973929,2W,8781794890,NA,N,manual
CEAWAR00002618,17/02/2026,CEASUB002551,Vijaya Yusuf Traders,CEA0024,D4154860,Bus,8738816802,0,N,fleet upload
CEAWAR00002619,2026-01-31,CEASUB001606,Modern Priya Mart,CEA0009,A8096370,Tractor,9450321710,2843,N,manual
CEAWAR00002620,2024-09-28,CEASUB004131,City Suresh Traders,CEA0025,C9761720,Tractor,9368345777,53081,N,dealer app
CEAWAR00002621,2024-08-14,CEASUB003633,Ganesh Kavya Sales,CEA0024,D2169591,Bus,7039726662,NA,pending,fleet upload
CEAWAR00002622,12/08/2025,CEASUB003742,Lucky Chandra Enterprises,CEA0027,A7906726,Truck,6870730494,NA,N,call center
CEAWAR00002623,2025-06-04,CEASUB002448,Prime Ganesh Associates,CEA0018,B4554462,Truck,6416052188,68387,N,dealer app
CEAWAR00002624,2024-12-05,CEADLR000504,Lucky Lokesh Tyres,CEA0020,,Car,7686744941,0,N,website
CEAWAR00002625,2025-10-26,CEADLR000536,Star Kavya Enterprises,CEA0010,D3643656,Tractor,7781873555,NA,Y,call center
CEAWAR00002626,2024-09-12,CEASUB001582,KAVERI SANJAY TYRES,CEA0007,A8181207,Truck,6990544726,49137,Y,dealer app
CEAWAR00002627,2025-12-03,CEASUB003789,Shree Deepak Tyres,CEA0030,B4736007,Bus,9378711411,27510,N,call center
CEAWAR00002628,2025-03-12,CEASUB002625,Mahalakshmi Sanjay Agro,CEA0026,D8719681,LCV,9801016537,30987,N,call center
CEAWAR00002629,2025-03-07,CEASUB003761,Sri Anand Chemicals,CEA0027,A3070999,LCV,8809206151,NA,pending,call center
CEAWAR00002630,30/11/2025,CEASUB003224,Vijaya Hari Paints,CEA0012,B5923763,2W,6499428618,45407,N,call center
CEAWAR00002631,2024-06-04,CEADLR000520,Sree Deepak Mart Pvt,CEA0017,C1645912,2W,7053959090,39056,Y,dealer app
CEAWAR00002632,2025-08-10,CEASUB002622,Kaveri Prakash Hardware,CEA0009,A6072080,Tractor,8990567520,NA,pending,website
CEAWAR00002633,2024-12-04,CEADLR000252,Ganesh Hari Tyres,CEA0002,C3993048,Car,9069538596,0,N,website
CEAWAR00002634,2024-10-23,CEASUB001269,Mahalakshmi Yusuf Sales,CEA0011,C8470540,Car,6892334495,0,Y,call center
CEAWAR00002635,2025-05-20,CEASUB001730,Modern Karthik Depot,CEA0011,D4011109,Bus,8141720173,14773,pending,manual
CEAWAR00002636,2025-08-19,CEASUB001259,United Farida Agro,CEA0014,D7974309,Car,6647671781,NA,Y,website
CEAWAR00002637,2025-03-05,CEASUB001296,NEW SANJAY MART,CEA0025,D3537100,Bus,6378247762,NA,pending,website
CEAWAR00002638,2024-08-18,CEASUB003902,Sri Naveen Tyres,CEA0014,A2765248,LCV,6045225405,70156,pending,fleet upload
CEAWAR00002639,2024-06-28,CEASUB000201,Star Naveen Tyres,CEA0028,C5471916,LCV,7742998822,NA,N,manual
CEAWAR00002640,2024-11-23,CEASUB003246,Shree Naveen Hardware,CEA0026,C2694341,2W,9625941336,0,pending,manual
CEAWAR00002641,2025-09-16,CEADLR000554,Kaveri Irfan Hardware,CEA0037,C2641271,Bus,7205970741,0,Y,manual
CEAWAR00002642,2026-01-13,CEASUB002559,STAR CHANDRA FERTILISERS,CEA0026,D3104620,Bus,6381074849,0,Y,dealer app
CEAWAR00002643,2025-06-16,CEASUB002186,Balaji Naveen Enterprises,CEA0024,null,Tractor,9729898726,18930,Y,manual
CEAWAR00002644,2024-04-14,CEASUB002340,New Sanjay Enterprises,CEA0015,C6293053,Truck,7930666341,0,pending,call center
CEAWAR00002645,2025-05-01,CEADLR000201,CITY MANOJ TYRES,CEA0031,C6939014,Truck,6624711264,45998,Y,website
CEAWAR00002646,2025-12-15,CEASUB003909,Royal Karthik Tyres,CEA0034,C2403462,Truck,8180795801,NA,Y,dealer app
CEAWAR00002647,2026-01-15,CEASUB002777,Sri Sowmya Enterprises,CEA0032,D8074655,Tractor,8976617876,NA,Y,fleet upload
CEAWAR00002648,2026-03-21,CEASUB002561,Kaveri Naveen Stores,CEA0022,C1689087,2W,7321266920,0,Y,dealer app
CEAWAR00002649,2024-07-05,CEASUB004117,Star Bala Services,CEA0029,A2855048,2W,6685632752,66253,Y,dealer app
CEAWAR00002650,25/07/2025,CEASUB001852,Royal Meena Distributors,CEA0027,D1157432,Truck,8914892735,72715,pending,manual
CEAWAR00002651,2024-04-24,CEADLR000246,Ganesh Manoj Traders & Co,CEA0014,B5136979,Car,9188966521,0,pending,website
CEAWAR00002652,2025-12-24,CEASUB002379,United Naveen Associates,CEA0016,A6638713,Tractor,8360981625,7891,N,call center
CEAWAR00002653,2024-11-01,CEASUB002801,Metro Geetha Tyres,CEA0015,B3379635,2W,9798248069,21530,N,manual
CEAWAR00002654,2024-06-18,CEASUB000150,SREE IRFAN FERTILISERS,CEA0019,B9912067,Car,9766778012,0,N,manual
CEAWAR00002655,2025-08-29,CEASUB002262,Modern Naveen Agencies,CEA0025,A7454854,Car,9999432715,7833,N,manual
CEAWAR00002656,2025-06-20,CEASUB001645,Murugan Meena Traders,CEA0021,C6142807,Car,6392673541,36474,pending,fleet upload
CEAWAR00002657,28/10/2024,CEADLR000663,Modern Lokesh Agro,CEA0003,B9267930,Car,9013032278,NA,pending,manual
CEAWAR00002658,2024-07-23,CEASUB000542,United Naveen Traders,CEA0005,D6660301,LCV,9895620497,4054,pending,call center
CEAWAR00002659,2025-05-29,CEASUB003342,Mahalakshmi Lakshmi Depot,CEA0001,B6440174,Bus,7289568398,62319,pending,fleet upload
CEAWAR00002660,2025-07-04,CEASUB003773,Ganesh Rafiq Tyres,CEA0028,A6451410,LCV,7498778401,24454,pending,manual
CEAWAR00002661,2025-03-24,CEASUB003673,Sree Naveen Tyres,CEA0003,D9298241,Bus,8453131515,NA,Y,call center
CEAWAR00002662,2026-02-02,CEASUB000527,Shree Meena Fertilisers,CEA0010,D4799701,Car,6357576616,0,pending,fleet upload
CEAWAR00002663,2024-08-15,CEASUB000859,Star Prakash Tyres,CEA0018,C7336644,Tractor,9348217812,25572,N,manual
CEAWAR00002664,2025-11-03,CEASUB002335,Kaveri Irfan Depot,CEA0022,A3665298,Truck,9524829824,NA,pending,fleet upload
CEAWAR00002665,2025-09-25,CEADLR000385,Metro Geetha Depot,CEA0005,D2905227,Truck,6492884672,NA,N,dealer app
CEAWAR00002666,28/05/2025,CEASUB001899,NATIONAL HARI SALES,CEA0005,D6722695,Truck,7028399631,0,Y,manual
CEAWAR00002667,04/05/2024,CEASUB000864,United Sowmya Sales,CEA0004,D9852026,Truck,8544881470,0,N,website
CEAWAR00002668,2024-12-11,CEASUB000668,Kaveri Chandra Paints,CEA0025,A6177662,LCV,6283504610,NA,Y,manual
CEAWAR00002669,2025-02-15,CEASUB000623,City Irfan Associates,CEA0021,B5645032,Tractor,6099624440,0,pending,website
CEAWAR00002670,08/16/2024,CEASUB003165,Star Venkatesh Tyres,CEA0012,,Truck,9199604485,2761,Y,website
CEAWAR00002671,2024-07-30,CEASUB001960,Sree Ganesh Tyres,CEA0008,D5773634,2W,8359821748,59558,pending,call center
CEAWAR00002672,2025-06-25,CEASUB003495,Sri Sowmya Fertilisers,CEA0036,D4580025,Truck,9551592189,0,N,website
CEAWAR00002673,2025-03-30,CEASUB004452,Kaveri Rafiq Depot,CEA0001,B8662795,Bus,9154912676,0,pending,dealer app
CEAWAR00002674,2024-09-27,CEASUB003408,National Lakshmi Stores,CEA0013,B8089642,2W,8794537447,63469,N,fleet upload
CEAWAR00002675,2025-04-05,CEASUB002461,New Manoj Tyres,CEA0005,B8957621,Bus,9908826444,0,N,dealer app
CEAWAR00002676,08/01/2025,CEASUB001923,Murugan Sowmya Agencies,CEA0038,A4505069,Tractor,6213208813,NA,pending,fleet upload
CEAWAR00002677,2025-10-21,CEASUB003822,Prime Yusuf Tyres,CEA0025,A7574242,Truck,9064015624,0,N,manual
CEAWAR00002678,2025-01-16,CEADLR000622,National Rafiq Tyres,CEA0031,B5904093,Truck,6770558376,NA,Y,manual
CEAWAR00002679,2024-04-23,CEASUB003112,Royal Senthil Hardware,CEA0026,B8359446,Truck,9874615910,0,pending,manual
CEAWAR00002680,2025-03-09,CEASUB003832,Murugan Revathi Depot,CEA0005,A2362841,Truck,8470758463,0,N,manual
CEAWAR00002681,2024-10-29,CEASUB000925,Ganesh Bala Corporation,CEA0011,A2308060,LCV,9142976228,0,Y,dealer app
CEAWAR00002682,08/09/2024,CEASUB001642,Sri Naveen Paints,CEA0008,B7035379,Bus,6846181409,17210,Y,website
CEAWAR00002683,2024-05-04,CEASUB001514,Metro Arun Distributors,CEA0021,B5878206,LCV,8648541701,0,pending,dealer app
CEAWAR00002684,2025-10-19,CEASUB000505,New Kavya Agro,CEA0024,C8526066,Tractor,6544070358,NA,pending,website
CEAWAR00002685,02/28/2026,CEASUB000354,Sri Sanjay Agencies,CEA0010,A3888784,Truck,8823934337,NA,pending,manual
CEAWAR00002686,2025-01-02,CEADLR000343,Mahalakshmi Sanjay Agro,CEA0026,D8093534,Car,9392934859,56131,N,dealer app
CEAWAR00002687,2024-08-04,CEASUB004107,Sree Naveen Tyres,CEA0031,A6963448,2W,6924819833,74508,pending,fleet upload
CEAWAR00002688,2025-02-05,CEASUB000795,Shree Farida Tyres,CEA0018,C8325271,Truck,8657108425,NA,Y,fleet upload
CEAWAR00002689,15-Aug-24,CEASUB003842,Royal Chandra Tyres,CEA0012,C9558404,2W,8601244718,64878,pending,website
CEAWAR00002690,28-Mar-25,CEASUB001363,New Naveen Tyres,CEA0005,D1394663,LCV,7580460881,69395,pending,call center
CEAWAR00002691,2025-09-13,CEASUB001196,Vijaya Bala Tyres,CEA0003,B4953419,2W,6915377497,NA,N,fleet upload
CEAWAR00002692,2024-11-06,CEASUB003168,United Senthil Associates,CEA0038,A5800248,Car,9999999999,66349,Y,manual
CEAWAR00002693,2024-11-29,CEASUB000702,Vijaya Jagan Stores,CEA0031,D4801116,Car,7174686552,NA,N,manual
CEAWAR00002694,2024-08-26,CEASUB004026,Sree Ganesh Fertilisers,CEA0023,NA,Tractor,8468911291,8354,pending,manual
CEAWAR00002695,2025-07-17,CEASUB004174,Balaji Lokesh Corporation,CEA0017,B2465013,Tractor,8885374062,0,pending,fleet upload
CEAWAR00002696,2026-03-15,CEASUB003216,Prime Arun Stores,CEA0007,D7542624,Car,6848608462,0,Y,manual
CEAWAR00002697,2026-01-22,CEASUB001006,Murugan Rafiq Fertilisers,CEA0029,A7988165,Truck,7581560993,52165,pending,manual
CEAWAR00002698,23-Mar-26,CEASUB002584,New Chandra Tyres,CEA0013,A9090204,Car,7335081533,0,Y,call center
CEAWAR00002699,06/26/2025,CEASUB001762,Ganesh Hari Fertilisers,CEA0019,D6292404,Bus,6992805499,NA,N,call center
CEAWAR00002700,2026-01-22,CEADLR000232,City Deepak Agro,CEA0015,B5153022,2W,6324681350,47184,N,fleet upload
CEAWAR00002701,2026-02-04,CEASUB002664,United Ganesh Tyres,CEA0010,C5704530,2W,6330555594,6089,Y,manual
CEAWAR00002702,30-Jan-25,CEASUB002315,United Prakash Tyres,CEA0025,C2655707,Tractor,9698103570,22307,Y,call center
CEAWAR00002703,2025-02-24,CEASUB003871,Murugan Yusuf Corporation,CEA0014,A2502689,Tractor,6504424506,NA,pending,call center
CEAWAR00002704,2025-08-27,CEASUB000128,Murugan Kavya Depot,CEA0026,A8943233,Car,,0,pending,website
CEAWAR00002705,06/05/2024,CEADLR000096,Kaveri Karthik Chemicals,CEA0005,C6325843,Car,NA,0,pending,dealer app
CEAWAR00002706,2024-08-08,CEASUB000901,Royal Hari Tyres,CEA0015,A6305081,LCV,9637452948,0,pending,fleet upload
CEAWAR00002707,2024-06-28,CEASUB002899,Mahalakshmi Suresh Tyres,CEA0025,N/A,2W,9145299823,74735,pending,fleet upload
CEAWAR00002708,2025-01-15,CEASUB001624,New Farida Tyres,CEA0012,C7392940,LCV,7538081270,NA,Y,fleet upload
CEAWAR00002709,2024-09-20,CEASUB004001,Vijaya Ganesh Services,CEA0034,A5372994,Bus,6791862894,0,pending,fleet upload
CEAWAR00002710,2025-08-17,CEASUB000565,MAHALAKSHMI LOKESH STORES,CEA0034,A1908106,Bus,6965499474,0,Y,manual
CEAWAR00002711,2026-01-09,CEASUB004273,United Karthik Tyres,CEA0033,B2066863,Bus,7272738895,0,Y,call center
CEAWAR00002712,04/22/2025,CEADLR000354,National Karthik Hardware,CEA0016,A6236424,LCV,7915484427,NA,pending,website
CEAWAR00002713,2025-07-17,CEASUB000784,Modern Geetha Tyres,CEA0009,A6712164,LCV,9215750204,NA,N,dealer app
CEAWAR00002714,2024-10-21,CEASUB002401,ROYAL LOKESH TYRES,CEA0020,D9627468,Tractor,8434184002,NA,N,fleet upload
CEAWAR00002715,2024-09-15,CEASUB001608,Vijaya Priya Tyres,CEA0014,NA,Bus,7766069756,31771,N,fleet upload
CEAWAR00002716,2024-09-15,CEADLR000292,Star Rafiq Tyres,CEA0030,A4559727,Car,8829235874,0,pending,dealer app
CEAWAR00002717,2024-11-18,CEADLR000181,New Ganesh Depot,CEA0033,B2995501,Tractor,9609782184,0,N,dealer app
CEAWAR00002718,26/11/2025,CEASUB002073,Kaveri Sowmya Enterprises,CEA0020,A1477560,LCV,9288783376,47922,Y,dealer app
CEAWAR00002719,2024-06-10,CEASUB001983,New Manoj Distributors,CEA0004,C7556063,Car,,6071,pending,call center
CEAWAR00002720,15/09/2025,CEADLR000140,Prime Chandra Tyres,CEA0003,A1675213,Car,9517101112,3820,N,manual
CEAWAR00002721,2024-11-28,CEASUB000386,Prime Farida Tyres,CEA0023,D8757153,Car,6207500632,0,pending,manual
CEAWAR00002722,2025-06-05,CEASUB000411,National Lakshmi Tyres,CEA0030,D6413619,Car,6079595069,0,pending,dealer app
CEAWAR00002723,2025-02-27,CEASUB001408,Sree Deepak Depot,CEA0036,B6397287,Bus,9941182566,28381,Y,manual
CEAWAR00002724,21-Jan-26,CEASUB002680,Prime Venkatesh Agro,CEA0033,B8924713,LCV,0,74603,Y,dealer app
CEAWAR00002725,2024-07-30,CEASUB003864,New Hari Tyres,CEA0027,C9410191,Bus,7073453072,0,pending,dealer app
CEAWAR00002726,2025-10-13,CEASUB003805,Royal Farida Depot,CEA0010,B4116417,LCV,6172793052,36775,pending,dealer app
CEAWAR00002727,2024-04-25,CEASUB000954,City Ganesh Associates,CEA0023,C7106046,Car,7820628698,0,Y,fleet upload
CEAWAR00002728,2024-05-27,CEASUB001684,Royal Ganesh Chemicals,CEA0037,B1955855,Tractor,9171962084,0,Y,call center
CEAWAR00002729,2024-09-19,CEASUB001627,New Irfan Fertilisers,CEA0017,A2942339,Bus,NA,42424,Y,manual
CEAWAR00002730,2026-01-09,CEASUB004048,Sri Irfan Associates,CEA0030,B5267266,2W,8189884290,63808,Y,fleet upload
CEAWAR00002731,30/11/2025,CEASUB002224,Prime Meena Sales,CEA0020,C4019143,Truck,7194386683,3389,Y,website
CEAWAR00002732,26/04/2024,CEASUB002048,Shree Meena Tyres,CEA0034,B9920859,LCV,6828380270,74259,N,call center
CEAWAR00002733,08/06/2024,CEADLR000553,Balaji Deepak Tyres,CEA0033,D7537025,2W,9091201026,0,pending,website
CEAWAR00002734,2025-05-18,CEASUB001445,Prime Yusuf Chemicals,CEA0015,D2930779,2W,7870940521,74948,pending,manual
CEAWAR00002735,2025-04-24,CEASUB001937,Lucky Priya Associates,CEA0021,A6161199,Truck,9524203374,NA,Y,website
CEAWAR00002736,2025-01-13,CEADLR000642,Sree Karthik Tyres,CEA0003,A5847660,LCV,9054229560,NA,pending,dealer app
CEAWAR00002737,19-Jan-25,CEASUB003769,New Farida Tyres,CEA0029,C4829921,Bus,8357177925,69354,N,manual
CEAWAR00002738,02/16/2025,CEASUB002015,City Karthik Tyres,CEA0022,A9993696,Bus,7296707080,0,Y,dealer app
CEAWAR00002739,2025-12-14,CEASUB004286,Prime Venkatesh Sales,CEA0030,C3647608,Tractor,8870711874,NA,Y,dealer app
CEAWAR00002740,2024-07-28,CEASUB003708,Balaji Arun Tyres,CEA0024,A6069563,Car,7911500135,NA,pending,fleet upload
CEAWAR00002741,2024-05-02,CEASUB002692,Ganesh Sowmya Hardware,CEA0033,A9255451,2W,9890182646,NA,pending,call center
CEAWAR00002742,2025-12-21,CEASUB004118,Balaji Sowmya Sales,CEA0013,B7845329,Tractor,7739513567,0,pending,website
CEAWAR00002743,14/11/2025,CEASUB001702,Vijaya Irfan Tyres,CEA0025,A2075757,Truck,9828917426,15142,pending,dealer app
CEAWAR00002744,2024-11-06,CEASUB004168,National Bala Tyres,CEA0030,D7214413,Tractor,7141954053,NA,pending,fleet upload
CEAWAR00002745,2025-12-01,CEADLR000091,Ganesh Sanjay Tyres,CEA0012,B3877637,Bus,8236676831,0,pending,call center
CEAWAR00002746,2024-10-06,CEASUB003956,Ganesh Geetha Corporation,CEA0029,C3291743,LCV,6117436862,43505,pending,manual
CEAWAR00002747,2025-06-16,CEASUB003406,Balaji Hari Agro,CEA0018,C4935496,2W,9580750825,NA,N,website
CEAWAR00002748,2024-10-22,CEASUB003196,Vijaya Kavya Sales,CEA0026,D3435244,Truck,6362355764,NA,pending,website
CEAWAR00002749,2025-08-20,CEASUB002958,Modern Anand Stores,CEA0024,B9332963,LCV,7504611213,0,pending,dealer app
CEAWAR00002750,2024-10-24,CEADLR000319,Murugan Geetha Distributors,CEA0037,C1050388,Bus,7321247306,NA,N,website
CEAWAR00002751,2025-06-16,CEASUB002644,Modern Naveen Tyres,CEA0004,B1312975,Truck,9501817370,NA,pending,dealer app
CEAWAR00002752,2026-02-08,CEASUB001905,Star Revathi Corporation,CEA0034,D3598751,Car,8620206368,39790,pending,dealer app
CEAWAR00002753,04/11/2024,CEASUB003645,Royal Senthil Tyres,CEA0017,B8010401,Tractor,7579340246,NA,pending,manual
CEAWAR00002754,2025-03-13,CEASUB002749,City Lakshmi Enterprises,CEA0026,C1226099,Truck,8078689169,NA,Y,fleet upload
CEAWAR00002755,31/05/2025,CEASUB004229,Modern Karthik Hardware,CEA0005,A1873456,Bus,7781446395,0,N,fleet upload
CEAWAR00002756,2024-04-07,CEASUB000278,Lucky Priya Associates,CEA0035,A8652354,2W,8278383609,0,pending,fleet upload
CEAWAR00002757,2024-06-08,CEASUB003550,Ganesh Deepak Chemicals,CEA0004,A5527332,Car,8493297351,44254,Y,fleet upload
CEAWAR00002758,2024-08-20,CEASUB000643,Modern Sowmya Sales,CEA0026,A9998541,Bus,,0,pending,website
CEAWAR00002759,2024-08-28,CEASUB003548,Balaji Lakshmi Mart,CEA0029,D9970946,2W,NA,NA,pending,dealer app
CEAWAR00002760,2025-04-11,CEASUB002700,United Geetha Tyres,CEA0031,B1376943,LCV,6467200973,NA,pending,fleet upload
CEAWAR00002761,2025-11-25,CEASUB003765,Sree Kavya Tyres,CEA0017,A3985071,LCV,0,0,Y,dealer app
CEAWAR00002762,2024-07-31,CEASUB004102,Mahalakshmi Deepak Services,CEA0013,D8607389,Bus,8686910519,NA,Y,website
CEAWAR00002763,07-Oct-25,CEASUB000609,Murugan Rafiq Tyres,CEA0033,C7146581,Tractor,8675926224,49434,pending,website
CEAWAR00002764,2024-06-26,CEASUB002484,Vijaya Deepak Tyres,CEA0023,D7360859,Truck,9589575343,24657,N,website
CEAWAR00002765,2025-11-05,CEASUB001122,Vijaya Geetha Depot,CEA0001,D8606061,Car,8943301643,NA,Y,dealer app
CEAWAR00002766,2025-08-22,CEADLR000180,Prime Venkatesh Stores,CEA0027,B1660692,Tractor,8320090805,0,Y,dealer app
CEAWAR00002767,2024-12-07,CEASUB003465,Royal Arun Tyres,CEA0037,C7966850,Truck,6374332189,NA,pending,website
CEAWAR00002768,02-Feb-25,CEASUB000727,New Prakash Hardware,CEA0025,A3955066,LCV,7487634013,NA,Y,call center
CEAWAR00002769,2025-08-13,CEASUB001587,Vijaya Naveen Depot,CEA0031,D1740762,Truck,8752520948,0,N,dealer app
CEAWAR00002770,09-Dec-24,CEASUB002676,CITY SOWMYA DEPOT,CEA0019,B9757357,Tractor,9690176021,NA,pending,fleet upload
CEAWAR00002771,2024-06-12,CEASUB001392,Star Yusuf Tyres,CEA0014,C8336214,LCV,6215162409,41078,Y,dealer app
CEAWAR00002772,2024-07-14,CEASUB003493,Lucky Manoj Tyres,CEA0010,B1204715,Car,6713401560,70644,N,dealer app
CEAWAR00002773,2025-07-17,CEASUB001901,Modern Irfan Traders,CEA0026,A1357888,Car,6249992653,NA,pending,fleet upload
CEAWAR00002774,2024-05-04,CEASUB000146,City Venkatesh Agro,CEA0032,A4132657,Tractor,9740252884,0,pending,fleet upload
CEAWAR00002775,2025-06-29,CEADLR000371,Metro Irfan Tyres,CEA0031,C8099412,Car,7940665895,NA,N,dealer app
CEAWAR00002776,2025-06-29,CEASUB000361,Shree Anand Tyres & Co,CEA0024,D9070389,LCV,9802726286,0,Y,dealer app
CEAWAR00002777,2026-01-11,CEASUB001418,Kaveri Hari Tyres,CEA0035,B1721816,LCV,6983008874,19747,Y,website
CEAWAR00002778,30-Jan-25,CEASUB000583,Murugan Arun Tyres,CEA0034,C2516466,Tractor,9350181068,0,pending,call center
CEAWAR00002779,2025-07-29,CEASUB002866,Prime Naveen Tyres,CEA0036,A8728212,2W,6203036078,55047,N,call center
CEAWAR00002780,2025-05-14,CEASUB002833,Metro Deepak Fertilisers,CEA0031,A5794230,Truck,6746168525,NA,pending,manual
CEAWAR00002781,2026-01-31,CEASUB003463,Vijaya Suresh Paints,CEA0004,B1364800,Truck,8470614751,64458,pending,call center
CEAWAR00002782,2025-11-30,CEASUB004051,METRO RAFIQ ENTERPRISES,CEA0001,D4915178,Truck,6611359907,60756,N,manual
CEAWAR00002783,2026-03-09,CEASUB002466,Metro Bala Tyres,CEA0037,C1023585,2W,7329096394,NA,Y,manual
CEAWAR00002784,2024-10-08,CEASUB000706,City Revathi Depot,CEA0019,B8283529,Tractor,8898433601,NA,Y,call center
CEAWAR00002785,2025-02-08,CEADLR000650,Prime Senthil Fertilisers,CEA0025,A2473226,Bus,6691649866,NA,pending,fleet upload
CEAWAR00002786,2025-09-24,CEASUB002097,Murugan Hari Agro,CEA0023,D2252507,2W,7995710963,NA,Y,call center
CEAWAR00002787,01-Aug-25,CEASUB002222,Royal Lokesh Depot,CEA0028,B3784037,Truck,9674266948,0,Y,call center
CEAWAR00002788,2025-03-09,CEASUB004156,MODERN ARUN SERVICES,CEA0034,B3159455,Truck,7389751843,0,N,dealer app
CEAWAR00002789,2025-11-18,CEADLR000472,Lucky Naveen Enterprises,CEA0018,B4449266,Tractor,9751680668,NA,Y,dealer app
CEAWAR00002790,2025-06-30,CEASUB000369,Prime Chandra Depot,CEA0021,A4107001,Truck,9862060989,NA,N,dealer app
CEAWAR00002791,19/01/2025,CEASUB002764,Prime Jagan Mart,CEA0002,C4398932,Truck,6563277755,NA,pending,fleet upload
CEAWAR00002792,2024-12-12,CEASUB002295,Sri Venkatesh Traders,CEA0009,A7500466,Truck,6300502011,71853,N,call center
CEAWAR00002793,2025-10-09,CEASUB002665,Royal Farida Sales,CEA0023,A4567043,Tractor,6761451978,0,Y,dealer app
CEAWAR00002794,2025-02-10,CEASUB004071,Lucky Priya Paints,CEA0036,D6638692,Car,9890951029,NA,pending,call center
CEAWAR00002795,28/05/2024,CEASUB002856,Balaji Meena Tyres,CEA0019,B5364783,Car,8353540583,NA,pending,manual
CEAWAR00002796,25/04/2025,CEASUB003361,Lucky Karthik Tyres,CEA0008,A7360724,Bus,7026140754,NA,pending,fleet upload
CEAWAR00002797,2025-02-06,CEASUB004200,Royal Manoj Associates,CEA0030,D8593212,Tractor,9859001367,NA,Y,dealer app
CEAWAR00002798,2024-11-17,CEASUB002977,Lucky Naveen Hardware,CEA0037,D9802050,Car,9519550272,0,Y,fleet upload
CEAWAR00002799,2025-07-27,CEASUB002423,Prime Farida Services,CEA0024,B7325362,LCV,6920028248,27699,N,website
CEAWAR00002800,2026-01-22,CEASUB003914,National Lakshmi Tyres,CEA0025,,2W,6035389918,0,N,call center
CEAWAR00002801,2025-08-19,CEASUB003460,BALAJI KAVYA TYRES,CEA0014,D1347977,Bus,9023131746,24782,N,website
CEAWAR00002802,2026-03-21,CEASUB001422,Murugan Naveen Mart,CEA0014,C9759816,Car,8283771025,67404,N,website
CEAWAR00002803,2026-03-03,CEASUB003874,Balaji Priya Tyres,CEA0030,D5318917,2W,9827302782,74279,pending,website
CEAWAR00002804,2024-05-08,CEASUB001503,National Sowmya Tyres,CEA0019,C6267254,Tractor,8801433550,0,N,dealer app
CEAWAR00002805,2025-03-30,CEASUB000710,United Naveen Depot,CEA0022,A2309014,2W,9393580573,63037,N,manual
CEAWAR00002806,2024-12-28,CEASUB001741,Vijaya Hari Tyres,CEA0003,A6359670,Tractor,8261444701,0,pending,dealer app
CEAWAR00002807,26-Jun-25,CEASUB002338,Ganesh Sanjay Paints & Co,CEA0029,A7354342,Tractor,8703025763,NA,N,call center
CEAWAR00002808,2026-03-14,CEASUB003341,Metro Ganesh Corporation,CEA0017,C3702053,LCV,8302206680,73405,pending,fleet upload
CEAWAR00002809,2024-11-30,CEASUB000577,Ganesh Irfan Fertilisers,CEA0030,D5590898,LCV,8863425056,0,pending,call center
CEAWAR00002810,2025-09-06,CEASUB003890,Modern Suresh Services,CEA0029,C2757960,Truck,8600744714,NA,pending,manual
CEAWAR00002811,30/08/2024,CEASUB000307,National Sanjay Corporation,CEA0021,C9612429,Tractor,6334077040,54199,N,manual
CEAWAR00002812,2024-07-13,CEASUB004041,Star Hari Sales,CEA0011,C5658652,Tractor,9637564844,NA,pending,fleet upload
CEAWAR00002813,2025-03-23,CEASUB002540,Mahalakshmi Bala Sales,CEA0035,D7989635,Truck,7822281980,0,pending,dealer app
CEAWAR00002814,2025-01-29,CEADLR000302,Lucky Lokesh Enterprises,CEA0027,C5668895,Bus,8947189607,NA,Y,manual
CEAWAR00002815,07-Oct-25,CEASUB000469,Metro Irfan Services,CEA0025,N/A,Bus,9670512405,NA,N,call center
CEAWAR00002816,2025-11-27,CEASUB001634,Royal Geetha Mart,CEA0013,C3305057,2W,8694473510,45116,Y,call center
CEAWAR00002817,25/01/2026,CEASUB000840,MODERN GANESH DISTRIBUTORS,CEA0012,C9362782,Car,7002849038,NA,N,manual
CEAWAR00002818,2026-03-17,CEASUB000965,Vijaya Bala Tyres,CEA0002,B8921777,Car,8751771124,NA,Y,call center
CEAWAR00002819,24-Jun-24,CEASUB000185,Murugan Naveen Mart,CEA0035,B5702982,Bus,7431398702,NA,N,manual
CEAWAR00002820,2026-01-31,CEADLR000022,United Yusuf Tyres,CEA0026,C7352405,LCV,6511644327,11227,Y,website
CEAWAR00002821,27/11/2025,CEADLR000727,Balaji Irfan Sales,CEA0003,A4594756,Bus,8699613619,0,Y,dealer app
